Process Name,Priority,Arrival Time,Service Time
Process-1,4,5458,8
Process-2,4,5187,3
Process-3,5,2103,9
Process-4,3,21,3
Process-5,2,1322,2
Process-6,3,4105,1
Process-7,5,3225,9
Process-8,5,5153,10
Process-9,1,4392,5
Process-10,5,1369,5
Process-11,2,2168,10
Process-12,2,2373,3
Process-13,4,2614,2
Process-14,1,4053,9
Process-15,1,2161,9
Process-16,2,5368,5
Process-17,5,2267,3
Process-18,4,2500,1
Process-19,1,4356,1
Process-20,1,1208,9
Process-21,1,3130,6
Process-22,2,1269,7
Process-23,3,3375,2
Process-24,3,4103,3
Process-25,2,165,3
Process-26,2,3565,6
Process-27,4,4054,9
Process-28,2,3544,6
Process-29,2,3641,9
Process-30,1,4739,8
Process-31,5,4169,1
Process-32,3,5036,5
Process-33,4,5133,4
Process-34,1,4943,3
Process-35,2,2716,4
Process-36,2,4708,7
Process-37,4,4350,3
Process-38,1,1756,3
Process-39,3,4541,4
Process-40,4,5085,7
Process-41,1,5476,8
Process-42,5,2751,9
Process-43,1,3722,10
Process-44,5,2246,10
Process-45,2,4385,3
Process-46,2,5341,3
Process-47,2,3544,1
Process-48,5,4268,10
Process-49,2,4922,4
Process-50,3,90,7
Process-51,1,953,5
Process-52,1,1699,7
Process-53,1,2245,6
Process-54,1,1929,6
Process-55,5,3465,7
Process-56,1,3354,2
Process-57,1,4207,7
Process-58,3,4948,7
Process-59,2,1538,8
Process-60,2,3375,9
Process-61,3,5053,7
Process-62,3,2457,8
Process-63,5,4983,7
Process-64,4,4618,8
Process-65,2,4704,5
Process-66,1,1349,3
Process-67,5,242,7
Process-68,4,5105,1
Process-69,3,374,10
Process-70,2,2252,10
Process-71,3,5485,8
Process-72,3,4612,9
Process-73,5,1874,5
Process-74,2,3373,4
Process-75,2,3771,9
Process-76,2,1503,8
Process-77,5,1799,9
Process-78,2,346,1
Process-79,3,1868,5
Process-80,2,1729,5
Process-81,4,1248,7
Process-82,5,4117,7
Process-83,5,1713,3
Process-84,5,3625,6
Process-85,4,4685,8
Process-86,5,2802,7
Process-87,5,3021,9
Process-88,2,2638,9
Process-89,5,812,5
Process-90,5,2120,8
Process-91,5,1974,7
Process-92,3,2949,5
Process-93,5,2070,7
Process-94,2,1258,3
Process-95,3,1461,8
Process-96,4,4031,7
Process-97,3,741,3
Process-98,1,3520,3
Process-99,5,5208,1
Process-100,5,218,7
Process-101,1,3284,6
Process-102,1,2109,1
Process-103,3,2219,4
Process-104,4,4811,1
Process-105,5,2569,5
Process-106,4,2921,6
Process-107,5,2239,4
Process-108,2,4177,1
Process-109,5,160,8
Process-110,4,2346,9
Process-111,5,4558,4
Process-112,5,3170,4
Process-113,3,3049,10
Process-114,4,1034,2
Process-115,5,496,5
Process-116,5,4851,1
Process-117,5,2387,3
Process-118,3,5064,5
Process-119,1,4181,3
Process-120,3,1847,2
Process-121,3,4788,6
Process-122,4,1683,9
Process-123,1,3259,5
Process-124,2,3094,1
Process-125,1,3942,7
Process-126,2,681,7
Process-127,1,4761,4
Process-128,5,2659,8
Process-129,4,892,8
Process-130,1,2233,6
Process-131,3,5257,5
Process-132,4,4774,1
Process-133,5,5442,4
Process-134,5,1972,6
Process-135,4,2294,8
Process-136,2,3189,4
Process-137,5,1176,6
Process-138,4,155,7
Process-139,4,3350,7
Process-140,1,3431,1
Process-141,4,2349,9
Process-142,3,1068,8
Process-143,3,3122,9
Process-144,3,2934,5
Process-145,2,3657,6
Process-146,4,2424,8
Process-147,1,1711,1
Process-148,4,5273,7
Process-149,2,1351,5
Process-150,1,1302,6
Process-151,3,14,3
Process-152,4,300,7
Process-153,4,3373,3
Process-154,3,4060,2
Process-155,1,5247,5
Process-156,4,2357,5
Process-157,1,4969,10
Process-158,1,5459,1
Process-159,2,705,5
Process-160,3,4043,3
Process-161,4,3089,7
Process-162,4,5080,5
Process-163,2,5050,8
Process-164,4,4357,10
Process-165,1,1458,3
Process-166,3,3815,5
Process-167,3,482,4
Process-168,4,2704,8
Process-169,1,5332,1
Process-170,2,2234,5
Process-171,3,3957,6
Process-172,4,4979,2
Process-173,1,710,10
Process-174,3,2070,10
Process-175,5,1883,5
Process-176,1,1405,5
Process-177,5,3441,9
Process-178,2,1597,2
Process-179,5,4657,4
Process-180,4,5168,3
Process-181,1,1860,1
Process-182,4,2659,1
Process-183,1,1063,2
Process-184,2,600,4
Process-185,2,495,6
Process-186,5,930,2
Process-187,1,1954,8
Process-188,2,4692,8
Process-189,1,3623,2
Process-190,2,2934,5
Process-191,3,2019,7
Process-192,2,4325,9
Process-193,4,1046,4
Process-194,2,5457,5
Process-195,1,1675,2
Process-196,4,2916,8
Process-197,3,742,9
Process-198,5,4046,3
Process-199,5,5010,1
Process-200,3,3180,1
